//Vocab types:
//1 - Prececessor
//2 - Follower
--CATEGORY
Any
ANY
Abstract
ABSTRACT
Computer
COMPUTER
Defense
DEFENSE
Miscellaneous Technology
MISCTECH
Phenomena
PHENOMENA
Propulsion/Generation
PROPULSION
Weapon - Any
WEAPONANY
Weapon - Crushing
WEAPONCRUSH
Weapon - Cutting
WEAPONCUT
Weapon - Distance
WEAPONDIS
Weapon - Explosive
WEAPONEXP
--ORGANIZATION
//Regular
1,2
, ,
--VOCABULARY
Alchemy,1:general,any
Alchemical,1:general,any
Alkahest,1:general,any
Amulet,1:general,any
Astral,1:general,any
Astrology,1:general,any
Astrological,1:general,any
Augury,1:general,any
Azoth,1:general,any
Bewitchment,1:general,any
Bewitching,1:general,any
Cabala,1:general,any
Cabalistic,1:general,any
Cabalist's,1:general,any
Charm,1:general,any
Conjuring,1:general,any
Conjurer's,1:general,any
Counterspell,1:general,any
Diabolic,1:general,any
Diabolism,1:general,any
Divination,1:general,any
Diviner's,1:general,any
Elemental,1:general,any
Elementalist's,1:general,any
Enchantment,1:general,any
Enchanted,1:general,any
Enchanter's,1:general,any
Enchantress',1:general,any
Ethereal,1:general,any
Ether,1:general,any
Etheric,1:general,any
Evocation,1:general,any
Evoker's,1:general,any
Hermetic,1:general,any
Homonculus,1:general,any
Illusion,1:general,any
Illusionary,1:general,any
Illusionist's,1:general,any
Invocation,1:general,any
Magic,1:general,any
Magical,1:general,any
Mage's,1:general,any
Necromantic,1:general,any
Necromancy,1:general,any
Necromancer's,1:general,any
Occult,1:general,any
Oracular,1:general,any
Oracle's,1:general,any
Oracle,1:general,any
Rune,1:general,any
Sigil,1:general,any
Sorcery,1:general,any
Sorcerous,1:general,any
Sorceror's,1:general,any
Sorceress',1:general,any
Spell,1:general,any
Summoning,1:general,any
Summoner's,1:general,any
Talisman,1:general,any
Talismanic,1:general,any
Tarot,1:general,any
Thaumaturgy,1:general,any
Thaumaturge's,1:general,any
Thaumaturgical,1:general,any
Totem,1:general,any
Warlock's,1:general,any
Witchcraft,1:general,any
Witch's,1:general,any
Wizardry,1:general,any
Wizard's,1:general,any
//Followers,any
//Abstract,any
