//Vocab types:
//1 - Prececessor
//2 - Follower
--CATEGORY
Any
ANY
Abstract
ABSTRACT
Computer
COMPUTER
Defense
DEFENSE
Miscellaneous Technology
MISCTECH
Phenomena
PHENOMENA
Propulsion/Generation
PROPULSION
Weapon - Any
WEAPONANY
Weapon - Crushing
WEAPONCRUSH
Weapon - Cutting
WEAPONCUT
Weapon - Distance
WEAPONDIS
Weapon - Explosive
WEAPONEXP
--ORGANIZATION
//Regular
1,2
, ,
--VOCABULARY
666,1:general,any
Albedo,1:general,any
Alchymical,1:general,any
Angel,1:general,any
Antichrist,1:general,any
Apocalypse,1:general ,any
Apostle,1:general,any
Archangel,1:general,any
Avatar,1:general,any
Babel,1:general,any
Babylon,1:general,any
Baptism,1:general,any
Baptismal,1:general,any
Baraka,1:general,any
Beast,1:general,any
Bhodisattava,1:general,any
Bible,1:general,any
Binah,1:general,any
Blasphemy,1:general,any
Blessing,1:general,any
Bohdi,1:general,any
Buddha,1:general,any
Cabala,1:general,any
Cherubrim,1:general,any
Chesed,1:general,any
Chokomah,1:general,any
Commandment,1:general,any
Confession,1:general,any
Confessor,1:general,any
Covenant,1:general,any
Daath,1:general,any
Damnation,1:general,any
Demigod,1:general,any
Demiurge,1:general,any
Dharma,1:general,any
Deity,1:general,any
Eden,1:general,any
Elohim,1:general,any
Enochian,1:general,any
Eucharist,1:general,any
Exodus,1:general,any
Geburah,1:general,any
Gnosis,1:general,any
God,1:general,any
Goddess,1:general,any
Gog,1:general,any
Gomorroah,1:general,any
Gospel,1:general,any
Grace,1:general,any
Grail,1:general,any
Hades,1:general,any
Hod,1:general,any
Host,1:general,any
Hymn,1:general,any
Jericho,1:general,any
Jesus,1:general,any
Karma,1:general,any
Kether,1:general,any
Kundalini,1:general,any
Lucifer,1:general,any
Luvah,1:general,any
Magog,1:general,any
Malkuth,1:general,any
Mana,1:general,any
Martyr,1:general,any
Mecca,1:general,any
Meggido,1:general,any
Merkaba,1:general,any
Messiah,1:general,any
Nephilim,1:general,any
Netzach,1:general,any
Nigredo,1:general,any
Oraphim,1:general,any
Penance,1:general,any
Prayer,1:general,any
Principality,1:general,any
